amfi_code,scheme_name,fund_house,return_3yr_pct,expense_ratio_pct,sharpe_ratio,alpha,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,score
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,22.38,1.53,0.1626607692864677,0.10897091901704538,-0.3544691649336603,3.0,28.0,27.0,28.5,38.0,47.76
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,11.77,0.89,0.6648569985490619,0.1513635464823924,-0.1165062450540909,32.0,19.0,23.0,13.0,10.0,46.41
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,11.54,1.42,0.7979728586052847,0.17703302365844073,-0.13897862823061635,33.0,17.0,17.0,20.0,14.0,46.28
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,15.34,1.64,0.6195175900829828,0.16211256794033255,-0.21539827112383225,13.0,22.0,21.0,39.5,30.0,44.81
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,12.1,1.57,0.8170993373494368,0.17048756803412696,-0.1085986215250232,30.0,16.0,19.0,34.0,7.0,44.62
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,20.98,1.38,-0.07597357117478923,0.04801595363775955,-0.5167775370852656,4.0,33.0,37.0,17.0,39.0,42.82
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.68,0.74,0.4957233929533124,0.06746210411099539,-0.0009773140045925555,35.0,23.0,31.0,7.0,1.0,42.05
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,18.23,1.56,0.07599984804658917,0.0780443887615508,-0.24003511326274884,7.0,30.0,29.0,33.0,33.0,41.92
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,12.82,1.54,0.4640374492204777,0.13173190226099432,-0.14844576917771746,25.0,25.0,24.0,30.5,16.0,39.17
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,12.14,0.75,0.12961449795669325,0.08232801295222093,-0.21751396370148224,29.0,29.0,28.0,8.0,31.0,36.28
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.18,0.6,-0.08874729621557331,0.06455677495375998,-0.0011629327956168556,37.0,34.0,32.0,3.0,2.0,34.23
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,12.25,1.59,0.49427253786723496,0.13042924450705445,-0.1757361416468729,28.0,24.0,25.0,35.0,24.0,33.21
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,15.61,1.51,-0.20583160785470314,0.02896939786637944,-0.2800112356639287,12.0,36.0,40.0,24.5,35.0,31.35
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,7.37,0.56,-0.5670947928476847,0.042817920315060876,-0.04308263824636349,36.0,39.0,38.0,2.0,4.0,28.59
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,5.31,0.55,-0.356629507514368,0.05074772999976104,-0.08316361763638702,39.0,38.0,35.0,1.0,6.0,28.33
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,6.07,0.77,-0.22657538662791596,0.05620895216638369,-0.04328728923970093,38.0,37.0,34.0,9.0,5.0,27.44
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,14.84,1.55,-0.2015170675596694,0.03747580763443281,-0.24734440880673303,16.0,35.0,39.0,32.0,34.0,26.79
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,11.84,1.64,0.030784850954585913,0.0689952982167755,-0.1440161790933726,31.0,31.0,30.0,39.5,15.0,24.42
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,5.14,0.79,-0.8155673679088278,0.060861457957871144,-0.0016224980244717857,40.0,40.0,33.0,11.0,3.0,24.23
